namespace,action,decision,scope
microsoft.directory,microsoft.directory/groups/hasAccessTo/read,notAllowed,/
microsoft.directory,microsoft.directory/groups/hiddenMembers/read,notAllowed,/
microsoft.directory,microsoft.directory/groups/memberOf/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/groups/memberOf/read,allowed,/
microsoft.directory,microsoft.directory/groups/members/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/groups/members/read,allowed,/
microsoft.directory,microsoft.directory/groups/members/update.add,conditional,/
microsoft.directory,microsoft.directory/groups/members/update.remove,conditional,/
microsoft.directory,microsoft.directory/groups/members/update,conditional,/
microsoft.directory,microsoft.directory/groups/members/update,conditional,/
microsoft.directory,microsoft.directory/groups/onPremWriteBack/update,notAllowed,/
microsoft.directory,microsoft.directory/groups/owners/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/groups/owners/read,allowed,/
